# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,root
# Reynolds number,1300000.0
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-2.899999999999999467e+00 1.052722632884979248e-01 7.784547749906778336e-03 -9.117659926414489746e-02 -2.130941629409790039e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.799999999999999822e+00 1.169118806719779968e-01 7.717532571405172348e-03 -9.128791838884353638e-02 -2.044449806213378906e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.699999999999999289e+00 1.285684257745742798e-01 7.652177009731531143e-03 -9.139586240053176880e-02 -1.960957407951354980e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.599999999999999645e+00 1.402397900819778442e-01 7.587549276649951935e-03 -9.150170534849166870e-02 -1.879814743995666504e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.500000000000000000e+00 1.519061177968978882e-01 7.534282747656106949e-03 -9.160330146551132202e-02 -1.798541188240051270e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.399999999999999467e+00 1.636759638786315918e-01 7.417111657559871674e-03 -9.172721952199935913e-02 -1.728160262107849121e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.299999999999999822e+00 1.754728555679321289e-01 7.320052012801170349e-03 -9.183302521705627441e-02 -1.660023093223571777e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.199999999999999289e+00 1.872199624776840210e-01 7.250218186527490616e-03 -9.193588048219680786e-02 -1.586221575736999512e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.099999999999999645e+00 1.989214718341827393e-01 7.200829219073057175e-03 -9.203780442476272583e-02 -1.508150815963745117e+00 6.999999880790710449e-01 1.999999955296516418e-02
-2.000000000000000000e+00 2.105990201234817505e-01 7.161697838455438614e-03 -9.213986247777938843e-02 -1.428504109382629395e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.900000000000000355e+00 2.222644686698913574e-01 7.128006778657436371e-03 -9.224224090576171875e-02 -1.348673820495605469e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.799999999999998934e+00 2.339240908622741699e-01 7.097043097019195557e-03 -9.234528988599777222e-02 -1.269361376762390137e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.699999999999999289e+00 2.455804795026779175e-01 7.067788392305374146e-03 -9.244906902313232422e-02 -1.190897464752197266e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.599999999999999645e+00 2.572348713874816895e-01 7.040002383291721344e-03 -9.255331754684448242e-02 -1.119605779647827148e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.500000000000000000e+00 2.688877880573272705e-01 7.013522554188966751e-03 -9.265793114900588989e-02 -1.051169872283935547e+00 6.999999880790710449e-01 1.999999955296516418e-02
-1.400000000000000355e+00 2.805393636226654053e-01 6.988403853029012680e-03 -9.276272356510162354e-02 -9.836077690124511719e-01 6.999999880790710449e-01 1.999999955296516418e-02
